Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Precio_m2,Nombre,Valor_compra_venta,Numero_de_contratos
2019,3,9,Sant Andreu,58,Baró de Viver,,78.0,,31.0
2019,3,9,Sant Andreu,59,el Bon Pastor,10.3,66.1,189.1,160.0
2019,3,9,Sant Andreu,60,Sant Andreu,12.5,67.1,254.4,66.0
2019,3,9,Sant Andreu,61,la Sagrera,13.2,64.8,271.6,36.0
2019,3,9,Sant Andreu,62,el Congrés i els Indians,12.3,67.9,241.9,38.0
2019,3,9,Sant Andreu,63,Navas,12.4,72.3,443.6,26.0
2019,3,10,Sant Martí,64,el Camp de l'Arpa del Clot,13.6,67.3,323.0,4.0
2019,3,10,Sant Martí,65,el Clot,13.8,68.4,322.9,140.0
2019,3,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14.5,72.6,208.2,115.0
2019,3,10,Sant Martí,67,la Vila Olímpica del Poblenou,17.9,83.8,6464.5,121.0
2019,3,10,Sant Martí,68,el Poblenou,15.5,68.0,313.0,96.0
2019,3,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,18.5,84.4,551.8,2.0
2019,3,10,Sant Martí,70,el Besòs i el Maresme,11.6,63.5,204.4,50.0
2019,3,10,Sant Martí,71,Provençals del Poblenou,14.4,70.8,497.5,9.0
2019,3,10,Sant Martí,72,Sant Martí de Provençals,11.9,71.1,354.0,53.0
2019,3,10,Sant Martí,73,la Verneda i la Pau,11.2,70.2,159.7,82.0
2019,4,1,Ciutat Vella,1,el Raval,14.0,64.7,186.3,121.0
2019,4,1,Ciutat Vella,2,el Barri Gòtic,14.3,85.0,392.3,31.0
2019,4,1,Ciutat Vella,3,la Barceloneta,17.0,56.3,210.7,4.0
2019,4,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",14.8,72.8,323.8,25.0
2019,4,2,Eixample,5,el Fort Pienc,14.4,79.4,432.8,5.0
2019,4,2,Eixample,6,la Sagrada Família,14.5,69.4,286.1,34.0
2019,4,2,Eixample,7,la Dreta de l'Eixample,14.3,100.7,229.9,4.0
2019,4,2,Eixample,8,l'Antiga Esquerra de l'Eixample,14.8,86.2,373.9,34.0
2019,4,2,Eixample,9,la Nova Esquerra de l'Eixample,14.9,76.7,296.8,247.0
2019,4,2,Eixample,10,Sant Antoni,13.8,78.9,313.4,152.0
2019,4,3,Sants-Montjuïc,11,el Poble Sec,14.5,59.7,309.9,78.0
2019,4,3,Sants-Montjuïc,12,la Marina del Prat Vermell,7.1,49.3,,106.0
2019,4,3,Sants-Montjuïc,13,la Marina de Port,11.5,72.3,170.0,291.0
2019,4,3,Sants-Montjuïc,14,la Font de la Guatlla,12.8,68.6,277.3,152.0
2019,4,3,Sants-Montjuïc,15,Hostafrancs,13.9,64.6,105.0,116.0
2019,4,3,Sants-Montjuïc,16,la Bordeta,12.9,69.2,173.8,68.0
